日期,2010-01-29,2010-02-26,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-30,2010-08-31,2010-09-30,2010-10-29,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-29,2011-05-31,2011-06-30,2011-07-29,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-30,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-23,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-30,2020-12-31,2021-01-29,2021-02-26,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-30,2021-08-31,2021-09-30,2021-10-29,2021-11-30,2021-12-31,2022-01-28,2022-02-28,2022-03-31,2022-04-29,2022-05-31,2022-06-30,2022-07-29,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-30,2023-01-31,2023-02-28,2023-03-31,2023-04-28,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-28,2023-10-31,2023-11-30,2023-12-29,2024-01-31,2024-02-29
000001.SZ,20.9535,20.3323,19.9438,19.4596,19.0485,18.5827,18.5827,18.5827,18.2362,18.2008,18.0312,17.8615,17.8738,18.1646,18.4373,18.7735,19.0050,19.1308,19.1846,19.2050,19.1358,18.9458,18.5354,18.4354,18.3058,18.0988,17.7700,17.4696,17.2385,16.9581,16.6465,16.4015,16.2331,16.0658,15.9342,15.8423,16.0235,16.3008,16.4858,16.5923,16.7812,16.4646,16.1542,15.9058,15.6958,15.5823,15.4885,15.3104,15.1523,14.9808,14.7550,14.5258,14.3638,14.1081,13.9227,13.7338,13.5431,13.4215,13.3950,13.4981,13.5415,13.4635,13.2577,13.0154,12.8308,12.6708,12.3388,12.3812,12.4158,12.4446,12.4392,12.3658,12.2273,12.1238,12.0946,12.0731,12.0646,11.9708,11.8823,11.8662,11.7969,11.7546,11.7319,11.6577,11.5381,11.2935,11.1104,10.9181,10.6662,10.3850,10.2062,10.0808,10.0327,10.0508,10.1619,10.2365,10.3254,10.3277,10.3623,10.4119,10.3942,10.3373,10.2938,10.3488,10.4200,10.4746,10.5242,10.5331,10.5927,10.7181,10.8523,11.0204,11.1362,11.3204,11.5100,11.6935,11.8827,12.0742,12.2350,12.4238,12.5069,12.5531,12.5050,12.5773,12.6581,12.7331,12.8546,13.0850,13.3062,13.5992,13.9335,14.2577,14.7473,15.2088,15.6285,16.0488,16.4865,16.8238,17.0358,17.1904,17.3365,17.5419,17.6131,17.6215,17.6423,17.6154,17.6092,17.6408,17.6931,17.7335,17.7212,17.7192,17.6615,17.4792,17.3969,17.2204,17.0377,16.8238,16.4177,16.0781,15.6777,15.2138,14.7569,14.3150,14.0654,13.7831,13.4658,13.0769,12.7700,12.5435
000002.SZ,12.6131,11.8665,11.2300,10.6358,9.9285,9.2519,8.8112,8.7885,8.7846,8.8854,8.9469,9.0369,9.0900,9.1558,9.2192,9.2704,9.2535,9.2523,9.1912,9.0142,8.7788,8.7250,8.5958,8.4404,8.2912,8.1938,8.1531,8.1358,8.1262,8.1688,8.2465,8.2942,8.2996,8.2958,8.3092,8.3254,8.4746,8.6200,8.7185,8.8288,8.9554,9.0081,9.0727,9.1115,9.1492,9.1900,9.2485,9.2496,9.2619,9.2331,9.2500,9.2354,9.2458,9.2185,9.2435,9.2515,9.2496,9.3027,9.3977,9.6123,9.7804,9.8815,9.9512,10.0512,10.1892,10.3235,10.4081,10.5600,10.6835,10.8454,11.0738,11.6592,11.6592,11.6592,11.6592,11.6592,11.6592,11.6592,11.9815,12.6315,13.3542,14.0542,14.7808,15.2673,15.7338,16.2054,16.6162,17.0154,17.4800,18.0788,18.5585,18.9173,19.4223,20.0458,20.7150,21.3481,22.2408,22.9400,23.6750,24.2365,24.7312,25.1515,25.4688,25.4542,25.7296,25.7027,25.6746,25.6323,25.6619,25.9481,26.3342,26.6554,26.8908,27.2104,27.4988,27.5308,27.6281,27.7550,27.8108,27.9346,27.8485,27.7919,27.3338,27.1069,26.8150,26.7281,26.7762,26.8788,27.0596,27.1942,27.4404,27.6123,27.7027,28.0596,28.1462,28.1531,27.9985,27.8035,27.5712,27.2631,26.9765,26.6846,26.3908,26.1304,25.8469,25.3477,24.9696,24.5769,24.2754,24.0331,23.7065,23.3408,22.9942,22.4654,22.1050,21.7454,21.2681,20.8235,20.3408,19.6500,19.0438,18.4996,18.0592,17.6681,17.3765,17.0508,16.6712,16.3731,16.0400,15.6662
000004.SZ,6.7615,6.7708,6.8604,6.8758,6.8804,6.8381,6.8935,7.0496,7.2219,7.5015,7.7727,8.0496,8.3638,8.7892,9.1746,9.5204,9.8308,10.1319,10.4381,10.6585,10.7969,10.9015,11.0104,11.0612,11.0692,11.0885,11.0165,10.9462,10.8696,10.7969,10.7577,10.7388,10.6808,10.5623,10.4027,10.2554,10.1192,10.0427,9.9423,9.8227,9.7669,9.6688,9.5846,9.5804,9.5519,9.5362,9.6173,9.6496,9.7073,9.9385,10.1115,10.2665,10.4596,10.6654,10.8662,11.0985,11.5115,12.0662,12.6154,12.8977,13.2865,13.6919,14.2558,14.8435,15.7769,16.8485,17.5300,18.3746,18.9619,19.7442,20.7869,22.1035,22.6992,23.2958,24.2392,24.2392,24.2392,24.2392,24.2392,24.2392,25.1377,26.1812,27.2858,28.5069,29.4458,30.3838,31.2104,31.2104,31.2104,31.4769,31.4750,31.5038,31.8308,32.0735,32.3365,32.2750,32.0777,31.5696,30.9677,30.6369,30.2750,30.0535,29.5088,28.6450,27.4912,27.0119,26.5912,25.7912,24.9273,24.1408,23.3519,22.5973,21.9515,21.2677,20.5946,20.3712,20.2362,20.0454,19.8854,19.8442,19.7388,20.4435,20.8400,21.1123,21.3442,21.6900,21.9258,22.1558,22.3385,22.6931,23.1438,23.3423,23.4977,23.6062,23.6865,23.5512,23.3346,23.0762,23.0950,23.0192,23.0377,22.9204,22.9212,22.9685,23.0054,22.9662,22.8581,21.7765,20.9746,20.2527,19.4962,18.7077,17.9292,17.2815,16.7858,16.1350,15.4715,15.0554,14.6569,14.3358,14.1931,14.1669,14.2362,14.1558,13.9265,13.8535,13.7908,13.7654,13.5165,13.2504
000005.SZ,4.3819,4.3235,4.2869,4.1912,4.0950,4.0242,4.0219,4.0623,4.1000,4.1654,4.2123,4.2788,4.3231,4.3912,4.4412,4.4758,4.4758,4.4758,4.4758,4.4758,4.4758,4.4758,4.4758,4.4758,4.4758,4.4758,4.4758,4.4831,4.4838,4.4435,4.3873,4.3077,4.2754,4.2300,4.1519,4.0238,3.9115,3.8200,3.7088,3.5800,3.5015,3.4215,3.3585,3.2777,3.1850,3.1188,3.0546,3.0027,2.9519,2.9077,2.8415,2.7738,2.7119,2.6462,2.6065,2.5900,2.6369,2.6800,2.7242,2.7704,2.7704,2.7704,2.7704,2.7704,3.2819,3.5208,3.6931,3.8035,3.9373,4.2296,4.4823,4.7808,4.9642,5.1319,5.3323,5.5050,5.6700,5.8638,6.0488,6.2473,6.4319,6.6269,6.8258,6.9988,7.1550,7.3081,7.3969,7.4708,7.5169,7.5608,7.1423,6.9773,6.8800,6.8358,6.7596,6.5262,6.3227,6.0835,5.9642,5.8354,5.6727,5.5119,5.3658,5.1896,5.0273,4.8435,4.6769,4.4969,4.3204,4.1927,4.0854,3.9600,3.8358,3.7288,3.6412,3.5588,3.4912,3.4192,3.3377,3.2746,3.2273,3.1754,3.1258,3.0819,3.0323,2.9958,2.9758,2.9750,2.9531,2.9365,2.9227,2.9150,2.8819,2.8612,2.8454,2.7985,2.7208,2.6662,2.6300,2.6050,2.5738,2.5388,2.5008,2.4731,2.4427,2.4085,2.3812,2.3454,2.3127,2.2796,2.2512,2.2204,2.1727,2.1231,2.0965,2.0708,2.0427,2.0142,2.0000,1.9850,1.9308,1.8942,1.8800,1.8619,1.8373,1.8000,1.7727,1.7296,1.6815,1.6304
000006.SZ,11.6696,11.0631,10.5235,9.8746,9.1435,8.8165,8.7154,8.7338,8.6892,8.7265,8.7992,8.9154,8.9973,9.0854,9.1762,9.2273,9.1523,8.9985,8.7831,8.4850,8.1569,7.9888,7.7915,7.5158,7.1915,6.9585,6.7873,6.6323,6.4073,6.2608,6.2085,6.1642,5.9750,5.8200,5.6842,5.5942,5.5423,5.4746,5.3742,5.2658,5.1565,5.0215,4.9058,4.8654,4.8208,4.7942,4.8223,4.8073,4.7962,4.8038,4.8423,4.8262,4.7954,4.7273,4.6831,4.6700,4.7377,4.8250,4.9377,5.0492,5.1508,5.2131,5.3388,5.5877,6.0146,6.3673,6.6258,6.8700,7.0762,7.3454,7.5946,7.8542,7.9181,8.0112,8.1623,8.3019,8.3785,8.4754,8.5800,8.7308,8.9112,9.0831,9.2269,9.3488,9.4154,9.4819,9.5504,9.6177,9.6019,9.4915,9.2188,9.0219,8.9500,8.9500,8.9500,8.9500,8.9500,8.9500,8.8254,8.7327,8.5469,8.3454,8.1281,8.0496,7.9862,7.8619,7.7642,7.6796,7.5938,7.5427,7.4754,7.3385,7.1712,7.0115,6.8515,6.7219,6.5777,6.4604,6.3373,6.2208,6.0773,5.9281,5.7754,5.5885,5.4900,5.4831,5.5350,5.5554,5.5773,5.5892,5.5904,5.6112,5.5908,5.5900,5.5992,5.5719,5.5146,5.4727,5.4315,5.3962,5.3654,5.3219,5.2862,5.2565,5.2246,5.1854,5.1881,5.1777,5.1754,5.1646,5.1419,5.0419,4.8823,4.7773,4.7546,4.7769,4.7735,4.7781,4.7865,4.7742,4.7450,4.7058,4.7000,4.7085,4.7131,4.7050,4.7104,4.7265,4.7292,4.7138
000007.SZ,6.0946,6.1042,6.1223,6.1169,6.0885,6.0454,5.9638,5.9731,6.0142,6.0981,6.3000,6.5123,6.7112,6.9200,7.1181,7.3065,7.4323,7.5531,7.6804,7.7831,7.8127,7.8642,7.9212,7.9150,7.8946,7.9773,8.1554,8.2985,8.6119,8.8665,9.2319,9.5754,9.8758,10.1923,10.3596,10.5977,10.9627,11.3892,11.6750,11.9646,12.2815,12.4392,12.6892,12.9327,13.1323,13.3808,13.6323,13.8577,14.0673,14.3112,14.5088,14.6204,14.6192,14.6192,14.6192,14.6192,14.8173,14.8692,14.9262,14.8519,14.7938,14.7088,14.8269,15.3565,15.9219,15.9219,15.9219,15.9219,15.9219,15.9219,16.0585,16.2181,16.2181,16.2181,16.2181,16.2181,16.2181,16.2181,16.2862,16.5246,16.8065,17.2900,17.7192,18.1550,18.5550,18.5550,18.5550,18.5550,18.5550,18.5550,18.6373,18.6973,18.8042,18.8042,18.8042,18.8042,18.8042,18.8042,18.8369,18.8627,18.9196,18.9700,19.0427,18.8731,18.5185,18.1696,17.8831,17.6369,17.3146,16.8423,16.1058,15.2262,14.6608,14.0085,13.5881,13.0342,12.4212,11.7723,11.1769,10.5565,9.9912,9.6781,9.3846,9.0500,8.8138,8.6269,8.4335,8.2677,8.1138,7.9842,8.0481,8.0373,7.8638,7.7100,7.6742,7.5538,7.4173,7.3331,7.2262,7.1215,7.0296,6.8904,6.7946,6.6846,6.5446,6.4200,6.3131,6.2454,6.2169,6.1888,6.1573,6.1308,6.1100,6.0685,5.9969,5.9554,5.8835,5.9131,6.1065,6.1600,6.1646,6.1927,6.2338,6.2712,6.2765,6.3115,6.3462,6.3650,6.3104,6.2292
000008.SZ,7.5423,7.4919,7.5892,7.6362,7.8419,7.9085,8.0588,8.3288,8.6165,8.9265,9.2485,9.5562,9.8685,10.2023,10.4500,10.7008,10.8615,11.0788,11.2992,11.4362,11.4688,11.5842,11.6692,11.5892,11.4800,11.3046,11.2950,11.2042,11.0927,11.0592,10.8992,10.9519,10.9492,10.9035,10.7742,10.6992,10.6958,10.7658,10.8700,10.8931,10.7754,10.6204,10.5331,10.3992,10.2831,10.1815,10.1673,10.0958,10.0427,10.1442,10.2396,10.2996,10.2754,10.2623,10.2623,10.2623,10.4935,10.8288,11.3969,11.8138,12.3704,12.9373,13.5931,13.5931,13.5931,13.5931,14.2312,14.6615,14.4504,14.3838,14.3108,14.4285,14.4346,14.3685,14.4419,14.4846,14.5635,14.5958,14.6354,14.6692,14.6723,14.6842,14.7142,14.7362,14.7481,14.4638,14.0250,13.3985,12.8215,12.1219,11.4165,10.6931,9.9896,9.4388,9.4458,9.2808,9.1454,8.9831,8.9238,8.8742,8.6731,8.4515,8.4515,8.1569,7.9073,7.6912,7.4723,7.2492,7.0119,6.8046,6.6238,6.4538,6.2635,6.0723,5.9004,5.7608,5.6127,5.4546,5.2796,5.0719,4.8504,4.6442,4.4285,4.2323,4.0565,3.9065,3.7923,3.6950,3.6150,3.5685,3.5038,3.4319,3.3827,3.3235,3.2715,3.1781,3.0873,3.0077,2.9396,2.8804,2.8281,2.7788,2.7304,2.7115,2.6746,2.6396,2.6058,2.5715,2.5592,2.5331,2.5150,2.4946,2.4623,2.4315,2.4142,2.3992,2.3885,2.3881,2.3838,2.3846,2.3908,2.3954,2.4027,2.4081,2.4235,2.4285,2.4365,2.4435,2.4419,2.4115
000009.SZ,9.2527,9.2454,9.0912,8.9969,8.8150,8.5946,8.6954,8.9388,9.2092,9.5773,10.1123,10.6135,11.1327,11.8212,12.2962,12.6635,12.9115,13.1981,13.5477,13.8192,13.9442,14.1765,14.4342,14.3723,14.3831,14.4342,14.4231,14.4158,14.3985,14.3523,14.2888,14.2965,14.2562,14.1623,13.9988,13.8269,13.5408,13.2462,12.9462,12.4862,12.2854,12.0365,11.8138,11.5331,11.1915,10.8431,10.6012,10.3604,10.0681,10.0788,9.9881,9.9015,9.9042,9.9042,9.9042,9.9792,10.0504,10.1646,10.3615,10.5212,10.6812,10.9273,11.2735,11.7958,12.2000,12.4769,12.5054,12.5488,12.4573,12.6496,13.0177,13.3269,13.3865,13.4296,13.5812,13.7438,13.8765,13.9735,13.9581,14.0065,14.0131,13.9096,13.7923,13.6919,13.5454,13.4227,13.2727,13.0123,12.6527,12.1031,11.6927,11.3954,11.3296,11.2181,11.1031,10.7658,10.2404,9.7819,9.5596,9.3612,9.0535,8.7158,8.4158,8.0665,7.8550,7.5742,7.3585,7.1250,6.8877,6.6877,6.5800,6.4423,6.3123,6.2092,6.1065,5.9723,5.7746,5.6200,5.4462,5.3708,5.3277,5.3346,5.3169,5.3369,5.3688,5.4723,5.5738,5.6796,5.7558,5.8688,5.9765,6.1115,6.1927,6.3992,6.5765,6.7827,6.9181,7.3831,7.9765,8.8342,9.3919,10.0192,10.5315,10.9112,11.2319,11.5231,11.7042,11.7654,11.9908,12.2573,12.5392,12.7796,12.8892,13.0396,13.2742,13.4485,13.6438,13.8465,14.0192,14.0573,14.1885,14.2481,14.2977,14.0050,13.5896,12.9096,12.6215,12.2688,12.0023,11.9050
000010.SZ,8.9292,9.0354,9.0485,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,8.8373,8.9762,9.0881,9.2365,9.4458,9.9427,9.9427,10.3331,10.7715,11.2908,11.2908,11.2908,11.2908,12.0104,12.0104,12.0104,12.0192,12.0419,11.9765,11.9265,11.8627,11.8135,11.7115,11.6896,11.6154,11.4504,11.2296,11.0262,10.8523,10.6562,10.4246,10.1773,10.0785,9.9058,9.9058,9.9058,9.9058,9.9058,10.0904,9.9754,9.7792,9.3281,9.0058,8.7550,8.3846,7.8550,7.9469,7.9885,8.0438,8.0658,8.0735,8.0796,8.1100,8.1504,8.2308,8.3188,8.4162,8.4592,8.4673,8.4558,8.4173,8.3415,8.2388,8.1485,7.6662,7.4450,7.3319,7.2888,7.2488,7.1227,6.9569,6.7396,6.5908,6.4081,6.2238,6.0315,5.9123,5.7846,5.6742,5.5219,5.3588,5.1846,4.9996,4.8404,4.7012,4.5600,4.4312,4.3188,4.2677,4.2031,4.1435,4.0850,4.0062,3.9050,3.8504,3.7750,3.7265,3.7108,3.6915,3.7127,3.7362,3.7677,3.7396,3.7173,3.6927,3.6746,3.6573,3.6700,3.7138,3.7388,3.7604,3.7827,3.7992,3.8165,3.8177,3.8396,3.8585,3.8673,3.8696,3.8792,3.8677,3.8442,3.8473,3.8462,3.8338,3.8235,3.7850,3.7200,3.6981,3.6912,3.6627,3.6400,3.6054,3.5662,3.4935,3.4196,3.3850,3.3554,3.3427,3.3558,3.3442,3.3150,3.2615,3.2069
000011.SZ,8.1558,8.0531,8.1019,8.0238,7.9804,8.0212,8.0838,8.1965,8.2781,8.4131,8.5538,8.7031,8.8169,8.9581,9.0815,9.2685,9.4212,9.5492,9.6377,9.6654,9.5573,9.4677,9.2404,8.9192,8.6958,8.5935,8.4769,8.4065,8.2527,8.2219,8.1712,8.0896,7.9535,7.8465,7.7454,7.6865,7.6831,7.6935,7.6612,7.6546,7.6912,7.6388,7.5319,7.4127,7.3115,7.2523,7.2419,7.2281,7.2392,7.2650,7.3350,7.2888,7.2962,7.2404,7.2162,7.2308,7.3258,7.4346,7.5762,7.7223,7.8612,7.9454,8.1281,8.4177,8.8727,9.1615,9.4469,9.5338,9.6285,9.8604,10.0696,10.3204,10.3946,10.5827,10.8535,11.1304,11.3108,11.5631,11.8115,12.1535,12.5331,12.9308,13.2527,13.6342,13.8969,14.1746,14.4408,14.7435,14.9704,15.1769,15.2188,15.4104,15.5373,15.8892,16.1550,16.2200,16.3258,16.3638,16.6000,16.6508,16.6250,16.5108,16.4615,16.3912,16.3246,16.0669,15.7888,15.4419,15.1504,14.8469,14.6569,14.4108,14.1546,13.8585,13.5462,13.1642,12.7988,12.3827,11.9831,11.6012,11.2796,10.9273,10.6023,10.3546,10.1042,10.1804,10.6608,11.0108,11.2623,11.3558,11.4404,11.5662,11.5838,11.6588,11.8288,11.8619,11.9073,11.9596,12.0373,12.1388,12.2281,12.2650,12.3012,12.4012,12.4750,12.5292,12.6885,12.8554,13.0319,13.2027,13.2485,13.0188,12.3704,11.9485,11.6954,11.6031,11.5092,11.4827,11.4785,11.4223,11.2669,11.1742,11.0812,11.0319,10.9623,10.8385,10.7331,10.6496,10.5754,10.4481
000012.SZ,15.5588,15.4900,15.6265,15.5919,15.3523,14.9550,14.6915,14.7173,14.7150,14.9762,15.4242,15.9446,16.3912,16.9242,17.2896,17.5969,17.5473,17.4627,17.3885,17.3931,17.2862,17.2354,17.0800,16.8162,16.4112,16.0750,15.7177,15.3404,14.8815,14.3835,14.2408,14.1654,13.9796,13.6565,13.3112,12.9027,12.3858,11.9581,11.5165,10.9450,10.5773,10.2227,9.9404,9.6396,9.3488,9.0827,8.8912,8.7277,8.6323,8.5908,8.5138,8.3885,8.3192,8.2088,8.1154,8.0523,8.0438,8.0673,8.1104,8.1800,8.2638,8.2981,8.3831,8.6469,8.9550,9.1796,9.2031,9.2396,9.2488,9.2931,9.3465,9.5188,9.5727,9.6288,9.7419,9.8688,9.9908,10.1392,10.2808,10.4854,10.6338,10.7981,11.0281,11.1642,11.2858,11.3912,11.4646,11.4962,11.4196,11.1827,10.9181,10.7362,10.6085,10.5338,10.5458,10.4927,10.4454,10.2392,10.1227,10.0308,9.8735,9.6300,9.4008,9.1450,8.9165,8.6104,8.3377,8.0438,7.6677,7.4212,7.1969,6.9381,6.6977,6.4746,6.2946,6.0958,5.9262,5.7615,5.6092,5.4835,5.3069,5.1765,5.0100,4.8746,4.7600,4.6758,4.6469,4.6819,4.7023,4.7462,4.8212,4.9438,5.0362,5.1335,5.2185,5.3735,5.5558,5.7612,5.9550,6.2465,6.4700,6.6577,6.8727,7.0881,7.2615,7.3885,7.4969,7.5185,7.5888,7.7023,7.7835,7.8412,7.8758,7.9150,7.9777,8.0069,8.0215,8.0054,8.0096,8.0115,8.0042,7.8888,7.7296,7.5623,7.4062,7.1627,6.9923,6.8588,6.6888,6.5262
000014.SZ,12.7677,12.5427,12.5235,12.3654,12.2073,12.0342,11.8400,11.7358,11.7019,11.7865,11.9373,12.1285,12.2600,12.3562,12.4538,12.5073,12.3754,12.1692,11.9008,11.6038,11.1673,10.8777,10.5915,10.1800,9.6619,9.3031,9.0050,8.8035,8.5569,8.5004,8.3746,8.3135,8.1173,7.9569,7.7915,7.6873,7.6865,7.7065,7.6988,7.6500,7.6477,7.6231,7.6465,7.7488,7.8631,7.9969,8.2000,8.3458,8.4765,8.6485,8.8385,8.9965,9.1450,9.2169,9.3715,9.4696,9.7731,10.0458,10.3473,10.5627,10.8665,11.0781,11.4946,11.9562,12.4865,13.0781,13.3773,13.8042,14.0942,14.5515,14.9969,15.4677,15.6892,15.9096,16.2446,16.6627,16.9912,17.3081,17.6850,18.0946,18.4804,18.8685,19.1285,19.3385,19.3985,19.5877,19.7319,19.8535,19.7154,19.5281,19.3015,19.0315,18.9915,18.8746,18.7400,18.2881,17.9008,17.4315,17.2435,17.0288,16.8427,16.6538,16.4485,16.1358,15.8150,15.3658,14.8935,14.3915,13.9058,13.5362,13.3285,13.0119,12.6873,12.3985,12.1054,11.8315,11.5477,11.2381,10.9300,10.6550,10.5212,10.4204,10.2538,10.1646,10.0246,10.0404,10.0469,9.8835,9.7831,9.7400,9.6888,9.6608,9.5981,9.5485,9.5004,9.3646,9.1973,9.0919,8.9777,8.8792,8.7954,8.6912,8.6058,8.5681,8.5446,8.5196,8.6388,8.7781,8.8504,8.8819,8.8765,8.7765,8.5788,8.4523,8.4758,8.5112,8.5700,8.6427,8.7154,8.7812,8.8562,9.0019,9.2592,9.5042,9.7108,9.8685,10.0362,10.1900,10.4154,10.5508
000016.SZ,5.7588,5.7165,5.6900,5.5619,5.4554,5.2104,5.0081,5.0708,5.1404,5.2323,5.3104,5.3842,5.4331,5.5081,5.5650,5.5819,5.5708,5.5419,5.4965,5.4512,5.3846,5.3727,5.3508,5.2538,5.0931,4.9385,4.7808,4.6146,4.4577,4.3788,4.2973,4.2369,4.1488,4.0646,3.9481,3.8512,3.7842,3.7335,3.6804,3.6154,3.5588,3.4915,3.4554,3.4219,3.3981,3.4000,3.4138,3.4096,3.4196,3.4685,3.5188,3.5369,3.5704,3.6081,3.6592,3.6942,3.7785,3.8692,3.9846,4.0923,4.2708,4.5185,4.7612,5.2438,6.0454,7.0746,7.0746,7.0746,7.1485,7.2888,7.4350,7.5654,7.5923,7.6354,7.6781,7.7173,7.7550,7.7696,7.7942,7.8338,7.8623,7.8788,7.8700,7.8654,7.8354,7.7958,7.7273,7.6738,7.5638,7.3827,7.2223,6.8377,6.1354,5.2073,5.2400,5.2165,5.1988,5.1631,5.2723,5.3204,5.3315,5.3458,5.3400,5.3138,5.2815,5.2204,5.1765,5.1138,5.0496,5.0400,5.0812,5.0919,5.0892,5.0738,5.0596,5.0408,4.9854,4.9119,4.8462,4.7819,4.7438,4.8823,4.9365,4.9954,4.9792,5.0023,5.0727,5.1458,5.1946,5.2604,5.3585,5.4750,5.5835,5.6915,5.8015,5.8854,5.9215,5.9931,6.0558,6.1862,6.2642,6.3112,6.4012,6.4962,6.5654,6.6173,6.6281,6.4296,6.3246,6.2685,6.2200,6.1754,6.0827,5.9946,5.9512,5.9000,5.8208,5.7515,5.6988,5.6485,5.6019,5.5358,5.4665,5.3758,5.3119,5.1827,5.1038,5.0481,4.9173,4.7915
000017.SZ,2.2600,2.2600,2.4408,2.5923,2.7150,2.8215,2.9692,3.1604,3.3623,3.5354,3.6885,3.8100,3.9373,4.0685,4.2142,4.3465,4.4577,4.5688,4.6842,4.7838,4.8785,4.9431,4.9888,4.9846,4.9938,5.0223,5.0288,5.0112,4.8454,4.7254,4.6258,4.5569,4.4746,4.4142,4.3165,4.3165,4.3165,4.3165,4.3165,4.3165,4.3165,4.3165,4.3165,4.3165,4.3165,4.3165,4.3165,4.2585,4.2612,4.2631,4.2996,4.3215,4.3119,4.3304,4.3688,4.4208,4.5915,4.7208,4.8677,4.9619,5.1312,5.3800,5.6638,6.1154,6.9792,7.6012,7.9419,8.1935,8.3973,8.7365,9.0481,9.3912,9.6546,9.9027,10.1635,10.4431,10.6046,10.7785,11.0177,11.2142,11.3865,11.5673,11.6396,11.8062,11.9223,12.1346,12.2185,12.2362,12.1377,11.8881,11.2223,10.7981,10.6346,10.5442,10.4831,10.2562,10.0392,9.7131,9.5035,9.2842,9.0127,8.7135,8.4958,8.2358,7.9585,7.7000,7.4750,7.2138,6.9304,6.6400,6.4035,6.1085,5.8831,5.6835,5.5450,5.4246,5.2985,5.1500,5.0135,4.9038,4.8008,4.7046,4.6162,4.5300,4.4015,4.2919,4.1892,4.1138,4.0185,3.9658,3.8831,3.8092,3.7223,3.6473,3.6031,3.5135,3.4204,3.3738,3.3619,3.3342,3.3038,3.2162,3.1704,3.1419,3.1069,3.0750,3.0504,3.0154,3.0092,3.0573,3.1381,3.2112,3.2496,3.3104,3.3942,3.4819,3.5685,3.6619,3.7477,3.8188,3.8700,3.9315,4.0012,4.0385,4.0508,4.0719,4.1077,4.1462,4.4581,4.7323
