日期,2010-01-29,2010-02-26,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-30,2010-08-31,2010-09-30,2010-10-29,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-29,2011-05-31,2011-06-30,2011-07-29,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-30,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-23,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-30,2020-12-31,2021-01-29,2021-02-26,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-30,2021-08-31,2021-09-30,2021-10-29,2021-11-30,2021-12-31,2022-01-28,2022-02-28,2022-03-31,2022-04-29,2022-05-31,2022-06-30,2022-07-29,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-30,2023-01-31,2023-02-28,2023-03-31,2023-04-28,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-28,2023-10-31,2023-11-30,2023-12-29,2024-01-31,2024-02-29
000001.SZ,24.5766,24.5766,24.8160,24.8160,24.8160,18.9094,18.9094,18.9094,19.0618,19.0618,19.0618,18.7505,18.7505,18.7505,19.7716,19.7716,19.7716,20.9225,20.9225,20.9225,13.2736,13.2736,13.2736,13.2736,14.0206,14.0206,14.0206,14.7176,14.7176,14.7176,15.4204,15.4204,15.4204,15.6980,15.6980,15.8053,15.8053,15.8053,15.8053,15.2804,15.2804,15.2804,15.4822,15.4822,15.6582,15.6582,15.6582,13.5893,13.5893,13.5893,14.2336,14.2336,14.2336,14.6949,14.6949,14.6949,15.1725,15.1725,15.1725,15.1219,15.1219,15.1219,14.9059,14.9059,14.9059,14.1271,14.1271,14.1271,13.9039,13.9039,13.9039,13.5387,13.5387,13.5387,13.3173,13.3173,13.3173,13.1426,13.1426,13.1426,12.8139,12.8139,12.8139,12.8139,12.4022,12.4022,12.1026,12.1026,12.1026,11.9378,11.9378,11.9378,11.9378,11.6236,11.6236,11.6236,11.4740,11.4740,11.4740,11.5858,11.5858,11.5858,11.5314,11.5314,11.5314,11.3769,11.3769,11.3769,11.2763,11.2763,11.2763,11.2950,11.2950,11.2950,11.5269,11.5269,10.4367,10.4367,10.4367,10.3265,10.3265,10.3265,10.3739,10.3739,10.3739,9.4048,9.4048,9.4048,9.3385,9.3385,9.3385,9.8332,9.8332,9.8332,10.0808,10.0808,10.0808,10.6861,10.6861,10.6861,11.1833,11.1833,11.1833,11.1630,11.1630,11.1630,11.6152,11.6152,11.6152,11.9364,11.9364,11.9364,12.3396,12.3396,12.3396,12.3396,12.4792,12.4792,12.5446,12.5446,12.5446,12.7745,12.7745,12.7745,12.7745,12.2481,12.2481,12.2481,12.2481,12.2481
000002.SZ,14.2598,14.2598,14.5913,14.5913,14.5913,14.1248,14.1248,14.1248,14.0209,14.0209,14.0209,16.4655,16.4655,16.4655,16.1679,16.1679,16.1679,16.1207,16.1207,16.1207,16.1956,16.1956,16.1956,16.1956,18.1712,18.1712,18.1712,18.0574,18.0574,18.0574,18.8242,18.8242,18.8242,19.7452,19.7452,19.6648,19.6648,19.6648,19.6648,19.4717,19.4717,19.4717,20.0802,20.0802,19.9683,19.9683,19.9683,19.6610,19.6610,19.6610,20.4424,20.4424,20.4424,19.9919,19.9919,19.9919,19.6314,19.6314,19.6314,17.8592,17.8592,17.8592,16.7267,16.7267,16.7267,18.0841,18.0841,18.0841,18.1519,18.1519,18.1519,18.0862,18.0862,18.0862,18.1866,18.1866,18.1866,19.1097,19.1097,19.1097,19.4488,19.4488,19.4488,19.4488,18.5311,18.5311,18.3246,18.3246,18.3246,20.3959,20.3959,20.3959,20.3959,20.4954,20.4954,20.4954,21.1432,21.1432,21.1432,20.7448,20.7448,20.7448,22.1457,22.1457,22.1457,22.1036,22.1036,22.1036,21.6819,21.6819,21.6819,21.5792,21.5792,21.5792,22.6626,22.6626,22.7345,22.7345,22.7345,20.6702,20.6702,20.6702,20.6721,20.6721,20.6721,20.2118,20.2118,20.2118,19.9799,19.9799,19.9799,18.4915,18.4915,18.4915,18.4125,18.4125,18.4125,18.0537,18.0537,18.0537,16.8443,16.8443,16.8443,9.5460,9.5460,9.5460,9.5667,9.5667,9.5667,10.1179,10.1179,10.1179,9.4919,9.4919,9.4919,9.4919,9.3196,9.3196,9.2005,9.2005,9.2005,8.1167,8.1167,8.1167,8.1167,7.5703,7.5703,7.5703,7.5703,7.5703
000004.SZ,3.8787,3.8787,5.2886,5.2886,5.2886,10.8296,10.8296,10.8296,19.8969,19.8969,19.8969,16.0223,16.0223,16.0223,16.3324,16.3324,16.3324,11.4466,11.4466,11.4466,3.6677,3.6677,3.6677,3.6677,3.9689,3.9689,3.9689,3.7543,3.7543,3.7543,2.5969,2.5969,2.5969,2.7326,2.7326,2.5890,2.5890,2.5890,2.5890,3.5830,3.5830,3.5830,3.6734,3.6734,4.2287,4.2287,4.2287,-1.3522,-1.3522,-1.3522,-6.3202,-6.3202,-6.3202,-8.0791,-8.0791,-8.0791,-10.5686,-10.5686,-10.5686,4.7354,4.7354,4.7354,6.0686,6.0686,6.0686,11.9281,11.9281,11.9281,14.1965,14.1965,14.1965,1.5298,1.5298,1.5298,0.8951,0.8951,0.8951,3.5743,3.5743,3.5743,14.1018,14.1018,14.1018,14.1018,32.5265,32.5265,33.8618,33.8618,33.8618,27.8013,27.8013,27.8013,27.8013,16.6105,16.6105,16.6105,6.6209,6.6209,6.6209,8.9621,8.9621,8.9621,10.8796,10.8796,10.8796,8.9786,8.9786,8.9786,-18.5569,-18.5569,-18.5569,-14.8197,-14.8197,-14.8197,-22.5253,-22.5253,-27.8164,-27.8164,-27.8164,0.2230,0.2230,0.2230,0.1121,0.1121,0.1121,0.5444,0.5444,0.5444,4.8621,4.8621,4.8621,4.4360,4.4360,4.4360,4.4560,4.4560,4.4560,4.6576,4.6576,4.6576,2.7453,2.7453,2.7453,-53.7210,-53.7210,-53.7210,-56.2474,-56.2474,-56.2474,-60.3486,-60.3486,-60.3486,-67.3039,-67.3039,-67.3039,-67.3039,-168.8398,-168.8398,-170.9830,-170.9830,-170.9830,-181.0723,-181.0723,-181.0723,-181.0723,-180.7736,-180.7736,-180.7736,-180.7736,-180.7736
000005.SZ,-6.9649,-6.9649,-8.5704,-8.5704,-8.5704,-9.1442,-9.1442,-9.1442,-9.4369,-9.4369,-9.4369,-0.6555,-0.6555,-0.6555,-0.5586,-0.5586,-0.5586,5.4113,5.4113,5.4113,5.0948,5.0948,5.0948,5.0948,1.7297,1.7297,1.7297,0.8461,0.8461,0.8461,-7.1299,-7.1299,-7.1299,-2.4174,-2.4174,3.2285,3.2285,3.2285,3.2285,3.7180,3.7180,3.7180,4.3695,4.3695,0.9813,0.9813,0.9813,-6.7834,-6.7834,-6.7834,-6.7892,-6.7892,-6.7892,-7.5302,-7.5302,-7.5302,-7.6385,-7.6385,-7.6385,6.4451,6.4451,6.4451,6.6168,6.6168,6.6168,6.9905,6.9905,6.9905,7.0757,7.0757,7.0757,-4.8088,-4.8088,-4.8088,-4.7269,-4.7269,-4.7269,7.4412,7.4412,7.4412,8.4497,8.4497,8.4497,8.4497,8.4722,8.4722,8.2775,8.2775,8.2775,-2.8525,-2.8525,-2.8525,-2.8525,-3.2635,-3.2635,-3.2635,1.1575,1.1575,1.1575,3.1073,3.1073,3.1073,3.0971,3.0971,3.0971,2.8632,2.8632,2.8632,9.9922,9.9922,9.9922,7.8090,7.8090,7.8090,13.0530,13.0530,12.1575,12.1575,12.1575,10.5852,10.5852,10.5852,11.1756,11.1756,11.1756,4.9637,4.9637,4.9637,6.3204,6.3204,6.3204,-31.3733,-31.3733,-31.3733,-28.6395,-28.6395,-28.6395,-11.2656,-11.2656,-11.2656,-11.5018,-11.5018,-11.5018,10.1173,10.1173,10.1173,9.6104,9.6104,9.6104,-3.4349,-3.4349,-3.4349,-3.2636,-3.2636,-3.2636,-3.2636,-12.8697,-12.8697,-13.2605,-13.2605,-13.2605,-13.6484,-13.6484,-13.6484,-13.6484,-14.5115,-14.5115,-14.5115,-14.5115,-14.5115
000006.SZ,15.4841,15.4841,14.1378,14.1378,14.1378,15.7264,15.7264,15.7264,13.5824,13.5824,13.5824,19.5847,19.5847,19.5847,19.8346,19.8346,19.8346,20.1171,20.1171,20.1171,23.2231,23.2231,23.2231,23.2231,15.5064,15.5064,15.5064,15.8128,15.8128,15.8128,18.1369,18.1369,18.1369,15.9493,15.9493,17.8593,17.8593,17.8593,17.8593,16.9167,16.9167,16.9167,16.9903,16.9903,16.9074,16.9074,16.9074,17.0069,17.0069,17.0069,16.2710,16.2710,16.2710,12.2331,12.2331,12.2331,14.7130,14.7130,14.7130,12.2877,12.2877,12.2877,15.6559,15.6559,15.6559,16.9322,16.9322,16.9322,12.8233,12.8233,12.8233,9.4866,9.4866,9.4866,5.9433,5.9433,5.9433,6.0195,6.0195,6.0195,5.8552,5.8552,5.8552,5.8552,15.5556,15.5556,16.3169,16.3169,16.3169,18.4786,18.4786,18.4786,18.4786,19.6664,19.6664,19.6664,14.4696,14.4696,14.4696,16.8771,16.8771,16.8771,16.9356,16.9356,16.9356,16.6431,16.6431,16.6431,14.1060,14.1060,14.1060,11.0789,11.0789,11.0789,10.7804,10.7804,12.8845,12.8845,12.8845,11.8945,11.8945,11.8945,11.9215,11.9215,11.9215,12.1371,12.1371,12.1371,12.2658,12.2658,12.2658,11.7407,11.7407,11.7407,13.1790,13.1790,13.1790,13.8188,13.8188,13.8188,11.9520,11.9520,11.9520,7.0850,7.0850,7.0850,4.1190,4.1190,4.1190,4.8850,4.8850,4.8850,2.3525,2.3525,2.3525,2.3525,5.3104,5.3104,4.6022,4.6022,4.6022,2.6380,2.6380,2.6380,2.6380,2.7954,2.7954,2.7954,2.7954,2.7954
000007.SZ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7504,3.7504,3.7504,6.3344,6.3344,6.3344,6.3344,2.0406,2.0406,2.0406,2.2307,2.2307,2.2307,4.4967,4.4967,4.4967,5.6459,5.6459,3.0312,3.0312,3.0312,3.0312,-0.3131,-0.3131,-0.3131,1.5545,1.5545,12.5331,12.5331,12.5331,6.7055,6.7055,6.7055,7.6643,7.6643,7.6643,4.8506,4.8506,4.8506,-6.0083,-6.0083,-6.0083,-8.5077,-8.5077,-8.5077,-8.6618,-8.6618,-8.6618,-9.6864,-9.6864,-9.6864,-10.3085,-10.3085,-10.3085,3.7909,3.7909,3.7909,7.0312,7.0312,7.0312,8.5157,8.5157,8.5157,11.2133,11.2133,11.2133,11.2133,21.0594,21.0594,19.0511,19.0511,19.0511,22.5481,22.5481,22.5481,22.5481,18.6343,18.6343,18.6343,4.2524,4.2524,4.2524,2.2263,2.2263,2.2263,-4.1659,-4.1659,-4.1659,-0.6701,-0.6701,-0.6701,-102.8838,-102.8838,-102.8838,-89.9743,-89.9743,-89.9743,-101.4162,-101.4162,-108.5221,-108.5221,-108.5221,10.6461,10.6461,10.6461,-5.0412,-5.0412,-5.0412,-1.9032,-1.9032,-1.9032,-8.4962,-8.4962,-8.4962,-190.6448,-190.6448,-190.6448,-160.4850,-160.4850,-160.4850,-153.3849,-153.3849,-153.3849,-128.2294,-128.2294,-128.2294,39.4520,39.4520,39.4520,38.0055,38.0055,38.0055,35.3298,35.3298,35.3298,36.0996,36.0996,36.0996,36.0996,-5.9176,-5.9176,-1.2680,-1.2680,-1.2680,16.3364,16.3364,16.3364,16.3364,14.2298,14.2298,14.2298,14.2298,14.2298
000008.SZ,0.4275,0.4275,0.5196,0.5196,0.5196,0.8961,0.8961,0.8961,0.6643,0.6643,0.6643,1.1978,1.1978,1.1978,0.9135,0.9135,0.9135,0.7168,0.7168,0.7168,0.4892,0.4892,0.4892,0.4892,-0.7304,-0.7304,-0.7304,-0.3987,-0.3987,-0.3987,-0.1946,-0.1946,-0.1946,-0.0175,-0.0175,7.2350,7.2350,7.2350,7.2350,6.7737,6.7737,6.7737,6.3978,6.3978,5.5869,5.5869,5.5869,4.0381,4.0381,4.0381,4.1540,4.1540,4.1540,3.6430,3.6430,3.6430,2.7046,2.7046,2.7046,1.3595,1.3595,1.3595,2.1407,2.1407,2.1407,2.4768,2.4768,2.4768,3.3300,3.3300,3.3300,6.3847,6.3847,6.3847,2.5158,2.5158,2.5158,2.8002,2.8002,2.8002,5.2829,5.2829,5.2829,5.2829,8.5370,8.5370,8.4701,8.4701,8.4701,8.6879,8.6879,8.6879,8.6879,6.8374,6.8374,6.8374,12.2973,12.2973,12.2973,12.2829,12.2829,12.2829,12.4946,12.4946,12.4946,12.3244,12.3244,12.3244,4.4448,4.4448,4.4448,4.4541,4.4541,4.4541,4.5357,4.5357,4.8559,4.8559,4.8559,5.8245,5.8245,5.8245,4.2785,4.2785,4.2785,1.0676,1.0676,1.0676,0.6153,0.6153,0.6153,-13.6668,-13.6668,-13.6668,-13.5028,-13.5028,-13.5028,-11.7429,-11.7429,-11.7429,-11.6500,-11.6500,-11.6500,-26.8021,-26.8021,-26.8021,-26.3874,-26.3874,-26.3874,-25.9649,-25.9649,-25.9649,-29.2297,-29.2297,-29.2297,-29.2297,-19.3375,-19.3375,-19.0526,-19.0526,-19.0526,-19.6996,-19.6996,-19.6996,-19.6996,-19.3116,-19.3116,-19.3116,-19.3116,-19.3116
000009.SZ,12.6037,12.6037,11.8714,11.8714,11.8714,12.9008,12.9008,12.9008,12.9520,12.9520,12.9520,13.0475,13.0475,13.0475,13.2868,13.2868,13.2868,13.2218,13.2218,13.2218,11.5363,11.5363,11.5363,11.5363,10.1887,10.1887,10.1887,7.4495,7.4495,7.4495,3.7592,3.7592,3.7592,3.4375,3.4375,5.3681,5.3681,5.3681,5.3681,5.0835,5.0835,5.0835,4.6407,4.6407,12.5265,12.5265,12.5265,9.1326,9.1326,9.1326,10.6044,10.6044,10.6044,14.6942,14.6942,14.6942,7.1437,7.1437,7.1437,9.2547,9.2547,9.2547,7.6422,7.6422,7.6422,5.1297,5.1297,5.1297,16.1681,16.1681,16.1681,16.9273,16.9273,16.9273,16.2303,16.2303,16.2303,15.5086,15.5086,15.5086,6.1931,6.1931,6.1931,6.1931,5.2180,5.2180,5.2268,5.2268,5.2268,5.3126,5.3126,5.3126,5.3126,4.3761,4.3761,4.3761,2.6643,2.6643,2.6643,2.6929,2.6929,2.6929,3.3069,3.3069,3.3069,1.0088,1.0088,1.0088,4.0561,4.0561,4.0561,4.6250,4.6250,4.6250,4.4348,4.4348,5.8612,5.8612,5.8612,5.4406,5.4406,5.4406,4.9495,4.9495,4.9495,5.2551,5.2551,5.2551,9.1943,9.1943,9.1943,9.5605,9.5605,9.5605,11.4611,11.4611,11.4611,16.0674,16.0674,16.0674,13.3123,13.3123,13.3123,12.9445,12.9445,12.9445,12.3465,12.3465,12.3465,9.2691,9.2691,9.2691,8.3544,8.3544,8.3544,8.3544,12.6626,12.6626,13.0429,13.0429,13.0429,12.6910,12.6910,12.6910,12.6910,12.7938,12.7938,12.7938,12.7938,12.7938
000010.SZ,15.6419,15.6419,6.6059,6.6059,6.6059,-6.0489,-6.0489,-6.0489,-1.8923,-1.8923,-1.8923,-2.2481,-2.2481,-2.2481,-5.9802,-5.9802,-5.9802,-3.9345,-3.9345,-3.9345,0.8878,0.8878,0.8878,0.8878,9.6175,9.6175,9.6175,11.9739,11.9739,11.9739,13.8548,13.8548,13.8548,-1.7074,-1.7074,1.2942,1.2942,1.2942,1.2942,-4.6574,-4.6574,-4.6574,1.7050,1.7050,2.4166,2.4166,2.4166,0.5061,0.5061,0.5061,-0.8190,-0.8190,-0.8190,-1.7714,-1.7714,-1.7714,-3.2111,-3.2111,-3.2111,-13.6476,-13.6476,-13.6476,-13.0411,-13.0411,-13.0411,-12.1347,-12.1347,-12.1347,-10.5537,-10.5537,-10.5537,0.9696,0.9696,0.9696,-0.4465,-0.4465,-0.4465,2.0741,2.0741,2.0741,1.8271,1.8271,1.8271,1.8271,1.8101,1.8101,2.1495,2.1495,2.1495,-1.4748,-1.4748,-1.4748,-1.4748,1.3740,1.3740,1.3740,-90.8726,-90.8726,-90.8726,-96.5917,-96.5917,-96.5917,-101.5543,-101.5543,-101.5543,-130.0022,-130.0022,-130.0022,-174.4430,-174.4430,-174.4430,-161.5415,-161.5415,-161.5415,-148.1220,-148.1220,-112.3620,-112.3620,-112.3620,10.4213,10.4213,10.4213,7.3204,7.3204,7.3204,9.8416,9.8416,9.8416,6.0496,6.0496,6.0496,8.1054,8.1054,8.1054,10.7626,10.7626,10.7626,7.7960,7.7960,7.7960,6.8866,6.8866,6.8866,4.5358,4.5358,4.5358,4.5911,4.5911,4.5911,1.9907,1.9907,1.9907,-0.0969,-0.0969,-0.0969,-0.0969,-75.9258,-75.9258,-83.3426,-83.3426,-83.3426,-111.9266,-111.9266,-111.9266,-111.9266,-127.5217,-127.5217,-127.5217,-127.5217,-127.5217
000011.SZ,14.6549,14.6549,12.2357,12.2357,12.2357,14.8980,14.8980,14.8980,9.0194,9.0194,9.0194,20.0185,20.0185,20.0185,39.3927,39.3927,39.3927,29.6570,29.6570,29.6570,29.3072,29.3072,29.3072,29.3072,22.7792,22.7792,22.7792,-1.9092,-1.9092,-1.9092,4.4326,4.4326,4.4326,9.4273,9.4273,24.9756,24.9756,24.9756,24.9756,34.7968,34.7968,34.7968,33.9667,33.9667,29.9556,29.9556,29.9556,16.6876,16.6876,16.6876,5.0383,5.0383,5.0383,3.3583,3.3583,3.3583,13.5383,13.5383,13.5383,20.1278,20.1278,20.1278,18.7972,18.7972,18.7972,17.0740,17.0740,17.0740,7.0957,7.0957,7.0957,7.4679,7.4679,7.4679,7.4754,7.4754,7.4754,5.8794,5.8794,5.8794,5.0430,5.0430,5.0430,5.0430,14.7217,14.7217,24.1804,24.1804,24.1804,27.1746,27.1746,27.1746,27.1746,32.5900,32.5900,32.5900,21.3220,21.3220,21.3220,12.5894,12.5894,12.5894,12.0858,12.0858,12.0858,6.6194,6.6194,6.6194,17.7571,17.7571,17.7571,18.0745,18.0745,18.0745,18.8011,18.8011,16.9146,16.9146,16.9146,25.9790,25.9790,25.9790,26.5128,26.5128,26.5128,27.7771,27.7771,27.7771,26.5842,26.5842,26.5842,21.4214,21.4214,21.4214,21.8408,21.8408,21.8408,30.3665,30.3665,30.3665,32.4302,32.4302,32.4302,22.3795,22.3795,22.3795,22.3853,22.3853,22.3853,13.9514,13.9514,13.9514,15.8388,15.8388,15.8388,15.8388,12.1849,12.1849,7.4873,7.4873,7.4873,11.4929,11.4929,11.4929,11.4929,7.0739,7.0739,7.0739,7.0739,7.0739
000012.SZ,15.6512,15.6512,19.0017,19.0017,19.0017,21.7497,21.7497,21.7497,21.7347,21.7347,21.7347,22.7915,22.7915,22.7915,23.0930,23.0930,23.0930,25.4354,25.4354,25.4354,22.4617,22.4617,22.4617,22.4617,17.0483,17.0483,17.0483,12.5736,12.5736,12.5736,8.6341,8.6341,8.6341,6.7821,6.7821,4.0308,4.0308,4.0308,4.0308,3.7765,3.7765,3.7765,5.5827,5.5827,7.0081,7.0081,7.0081,19.0849,19.0849,19.0849,18.9652,18.9652,18.9652,22.0899,22.0899,22.0899,19.9210,19.9210,19.9210,10.4647,10.4647,10.4647,9.8085,9.8085,9.8085,6.5205,6.5205,6.5205,6.8823,6.8823,6.8823,7.9341,7.9341,7.9341,9.2520,9.2520,9.2520,11.4802,11.4802,11.4802,11.8791,11.8791,11.8791,11.8791,10.2111,10.2111,9.5605,9.5605,9.5605,8.9546,8.9546,8.9546,8.9546,9.5120,9.5120,9.5120,9.7580,9.7580,9.7580,9.4030,9.4030,9.4030,8.9341,8.9341,8.9341,6.5149,6.5149,6.5149,4.9759,4.9759,4.9759,4.6070,4.6070,4.6070,5.1039,5.1039,5.5323,5.5323,5.5323,5.6493,5.6493,5.6493,5.3654,5.3654,5.3654,5.6925,5.6925,5.6925,7.0730,7.0730,7.0730,7.6307,7.6307,7.6307,11.5076,11.5076,11.5076,15.4582,15.4582,15.4582,13.6870,13.6870,13.6870,13.3804,13.3804,13.3804,11.3480,11.3480,11.3480,9.9682,9.9682,9.9682,13.3875,13.3875,13.3875,13.3875,15.8477,15.8477,15.4718,15.4718,15.4718,13.9997,13.9997,13.9997,13.9997,13.3678,13.3678,13.3678,13.3678,13.3678
000014.SZ,17.2612,17.2612,28.5439,28.5439,28.5439,21.7513,21.7513,21.7513,11.6696,11.6696,11.6696,13.7555,13.7555,13.7555,-1.6841,-1.6841,-1.6841,1.7850,1.7850,1.7850,7.2426,7.2426,7.2426,7.2426,10.2194,10.2194,10.2194,11.7138,11.7138,11.7138,7.8166,7.8166,7.8166,4.4778,4.4778,4.7847,4.7847,4.7847,4.7847,4.9455,4.9455,4.9455,5.5384,5.5384,6.1299,6.1299,6.1299,4.7284,4.7284,4.7284,9.3040,9.3040,9.3040,9.6451,9.6451,9.6451,8.5176,8.5176,8.5176,9.1275,9.1275,9.1275,4.8441,4.8441,4.8441,7.4435,7.4435,7.4435,7.0303,7.0303,7.0303,7.4067,7.4067,7.4067,6.7272,6.7272,6.7272,4.0045,4.0045,4.0045,5.2773,5.2773,5.2773,5.2773,3.8843,3.8843,4.1053,4.1053,4.1053,5.8325,5.8325,5.8325,5.8325,6.8571,6.8571,6.8571,1.0300,1.0300,1.0300,1.8996,1.8996,1.8996,0.9121,0.9121,0.9121,0.7352,0.7352,0.7352,16.5010,16.5010,16.5010,15.5002,15.5002,15.5002,16.0313,16.0313,15.4034,15.4034,15.4034,2.3660,2.3660,2.3660,3.9617,3.9617,3.9617,5.2929,5.2929,5.2929,5.1113,5.1113,5.1113,0.4892,0.4892,0.4892,-1.4495,-1.4495,-1.4495,-4.6454,-4.6454,-4.6454,-4.7143,-4.7143,-4.7143,3.8169,3.8169,3.8169,6.4162,6.4162,6.4162,10.4723,10.4723,10.4723,22.8103,22.8103,22.8103,22.8103,21.3154,21.3154,29.7052,29.7052,29.7052,40.8393,40.8393,40.8393,40.8393,34.2231,34.2231,34.2231,34.2231,34.2231
000016.SZ,3.8984,3.8984,3.7409,3.7409,3.7409,3.1047,3.1047,3.1047,2.6876,2.6876,2.6876,2.0994,2.0994,2.0994,-0.7298,-0.7298,-0.7298,-4.2828,-4.2828,-4.2828,-3.7090,-3.7090,-3.7090,-3.7090,0.6228,0.6228,0.6228,2.7955,2.7955,2.7955,5.7817,5.7817,5.7817,5.1414,5.1414,1.1334,1.1334,1.1334,1.1334,1.2246,1.2246,1.2246,1.8383,1.8383,1.7309,1.7309,1.7309,1.1068,1.1068,1.1068,0.9892,0.9892,0.9892,1.2142,1.2142,1.2142,1.2557,1.2557,1.2557,1.2824,1.2824,1.2824,1.2369,1.2369,1.2369,-7.6026,-7.6026,-7.6026,-26.1783,-26.1783,-26.1783,-44.6570,-44.6570,-44.6570,-44.4898,-44.4898,-44.4898,-33.6453,-33.6453,-33.6453,-16.3284,-16.3284,-16.3284,-16.3284,3.2974,3.2974,3.8728,3.8728,3.8728,3.8823,3.8823,3.8823,3.8823,8.8317,8.8317,8.8317,63.2591,63.2591,63.2591,63.1102,63.1102,63.1102,67.5979,67.5979,67.5979,66.8443,66.8443,66.8443,5.0747,5.0747,5.0747,5.3698,5.3698,5.3698,5.1248,5.1248,5.1824,5.1824,5.1824,2.6279,2.6279,2.6279,-1.1997,-1.1997,-1.1997,-0.5723,-0.5723,-0.5723,4.4245,4.4245,4.4245,5.6668,5.6668,5.6668,9.0626,9.0626,9.0626,5.6590,5.6590,5.6590,-3.2745,-3.2745,-3.2745,9.9541,9.9541,9.9541,10.0331,10.0331,10.0331,10.6935,10.6935,10.6935,12.6179,12.6179,12.6179,12.6179,-19.2583,-19.2583,-18.3021,-18.3021,-18.3021,-24.4333,-24.4333,-24.4333,-24.4333,-32.9188,-32.9188,-32.9188,-32.9188,-32.9188
000017.SZ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"22,492.4812","22,492.4812","22,492.4812","21,776.1961","21,776.1961","21,776.1961","18,093.9952","18,093.9952","18,093.9952","15,429.6821","15,429.6821","15,429.6821",41.0446,41.0446,41.0446,39.4529,39.4529,39.4529,27.8193,27.8193,27.8193,16.3620,16.3620,16.3620,-1.1760,-1.1760,-1.1760,-2.2192,-2.2192,-2.2192,-0.8693,-0.8693,-0.8693,10.1412,10.1412,10.1412,10.1412,18.1202,18.1202,18.3088,18.3088,18.3088,3.6593,3.6593,3.6593,3.6593,-6.4624,-6.4624,-6.4624,9.6211,9.6211,9.6211,9.6046,9.6046,9.6046,22.9457,22.9457,22.9457,23.4222,23.4222,23.4222,-11.1277,-11.1277,-11.1277,-15.7159,-15.7159,-15.7159,-21.8035,-21.8035,-16.7413,-16.7413,-16.7413,-100.9482,-100.9482,-100.9482,-113.5510,-113.5510,-113.5510,-36.2035,-36.2035,-36.2035,-17.4833,-17.4833,-17.4833,34.7158,34.7158,34.7158,38.9594,38.9594,38.9594,19.1813,19.1813,19.1813,3.6111,3.6111,3.6111,-22.2760,-22.2760,-22.2760,-33.4286,-33.4286,-33.4286,-65.0361,-65.0361,-65.0361,-26.8121,-26.8121,-26.8121,-26.8121,-2.6252,-2.6252,-1.3188,-1.3188,-1.3188,-0.4308,-0.4308,-0.4308,-0.4308,-1.3253,-1.3253,-1.3253,-1.3253,-1.3253
